Station;Latitude [degree];Longitude [degree];Date;Time;Depth [m];Temp;Cond;Sal;O2%;O2ppm;pH;Eh;CHL;Turb;SigmaT;SoundV;Bot. Depth [m]
319;54.63383333;19.895;11.10.2022;08:56:28.91;0.175;13.411;9.548;7.053;0.4;0.04;9.106;151;-0.797;4.005;4.776;1468.69;11.4125
319;54.63383333;19.895;11.10.2022;08:56:28.98;0.187;13.411;9.547;7.052;0.4;0.04;9.106;151;-0.619;2.665;4.7759;1468.69;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.05;0.226;13.412;9.548;7.053;0.4;0.04;9.106;150.9;-0.169;1.585;4.776;1468.7;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.12;0.267;13.413;9.548;7.052;0.5;0.05;9.106;150.9;0.194;5.565;4.776;1468.7;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.20;0.323;13.413;9.547;7.052;0.5;0.05;9.105;150.9;0.432;15.265;4.7756;1468.7;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.27;0.385;13.414;9.548;7.052;0.6;0.06;9.105;150.9;0.56;21.105;4.7763;1468.7;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.34;0.438;13.414;9.549;7.053;0.7;0.07;9.105;150.9;0.637;22.557;4.7772;1468.71;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.41;0.497;13.415;9.549;7.053;0.7;0.07;9.104;150.9;0.685;22.365;4.7771;1468.71;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.49;0.556;13.414;9.548;7.053;0.8;0.08;9.104;150.9;0.713;21.997;4.7773;1468.71;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.56;0.598;13.415;9.549;7.053;0.7;0.07;9.104;151;0.729;21.705;4.7777;1468.71;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.63;0.644;13.415;9.55;7.054;0.7;0.07;9.103;151;0.728;21.572;4.7786;1468.72;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.71;0.698;13.416;9.55;7.054;0.7;0.07;9.102;151;0.73;21.863;4.7785;1468.72;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.80;0.76;13.416;9.55;7.054;0.7;0.07;9.102;151.1;0.743;22.427;4.7787;1468.72;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.87;0.825;13.416;9.549;7.053;0.7;0.07;9.102;151;0.767;22.237;4.7786;1468.72;11.4125
319;54.63383333;19.895;11.10.2022;08:56:29.94;0.891;13.416;9.55;7.053;0.7;0.07;9.102;151.1;0.773;21.864;4.779;1468.72;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.02;0.953;13.417;9.55;7.053;0.7;0.07;9.102;151.1;0.764;21.577;4.7794;1468.73;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.09;1.018;13.417;9.549;7.053;0.7;0.07;9.101;151.1;0.775;21.496;4.7793;1468.73;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.16;1.081;13.417;9.551;7.054;0.7;0.07;9.101;151.1;0.793;21.418;4.7801;1468.73;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.23;1.139;13.417;9.552;7.055;0.7;0.07;9.101;151.1;0.799;21.387;4.7812;1468.73;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.31;1.202;13.418;9.551;7.054;0.7;0.07;9.101;151.1;0.797;21.338;4.7809;1468.73;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.38;1.27;13.418;9.552;7.055;0.7;0.07;9.101;151;0.803;21.286;4.7817;1468.74;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.45;1.334;13.418;9.551;7.054;0.7;0.07;9.1;151;0.801;21.292;4.7814;1468.74;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.52;1.399;13.418;9.552;7.055;0.7;0.07;9.1;151;0.837;21.317;4.7821;1468.74;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.60;1.471;13.418;9.554;7.056;0.7;0.07;9.1;151;0.842;21.346;4.7834;1468.74;11.4125
319;54.63383333;19.895;11.10.2022;08:56:30.67;1.533;13.418;9.554;7.056;0.7;0.07;9.1;150.9;0.843;21.427;4.7841;1468.74;11.4125
