Файл;;;;;;;;;;;;;;;;;
Название;BIM2;;;;;;;;;;;;;;;;
Серийный номер;\60000301;;;;;;;;;;;;;;;;
Активных датчиков;17;;;;;;;;;;;;;;;;
Точек измерения;85;;;;;;;;;;;;;;;;
Интервал;1:00:00;;;;;;;;;;;;;;;;
Режим усреднения;по точкам;;;;;;;;;;;;;;;;
Количество усреднений;1;;;;;;;;;;;;;;;;
Часовой пояс;0 GMT;;;;;;;;;;;;;;;;
Информация пользователя;BIM2-301-ROStorf;;;;;;;;;;;;;;;;
Датчик;Доп. инфо;К0;К1;К2;Min;Max;;;;;;;;;;;
;14;200;0,254000008;0;0;0;;;;;;;;;;;
;16;0;0,00633;0;0;0;;;;;;;;;;;
;501;0;0,001334;0;0;6;;;;;;;;;;;
;502;0;0,001488;0;3,299999952;4,5;;;;;;;;;;;
;700;0;10;0;0;0;;;;;;;;;;;
;710;0;1;0;0;0;;;;;;;;;;;
;901;0;0,550000012;0;0;0;;;;;;;;;;;
282082930D000099;4001;-0,069072999;0,00788734;-4,87E-09;50;-40;;;;;;;;;;;
2860A9920D0000EB;4002;0,120592996;0,007869;-6,72E-09;50;-40;;;;;;;;;;;
28D0712C0E0000EC;4003;-0,00699999;0,00788445;-6,93E-09;50;-40;;;;;;;;;;;
283073930D0000A9;4004;-0,064856596;0,00788449;-4,03E-09;50;-40;;;;;;;;;;;
28B0002D0E000000;4005;0,119946003;0,00785258;-6,84E-09;50;-40;;;;;;;;;;;
28F0BA2D0E000087;4006;-0,00593994;0,0078825;-7,17E-09;50;-40;;;;;;;;;;;
2888CB2C0E000091;4007;0,038878001;0,00788218;-6,74E-09;50;-40;;;;;;;;;;;
2848B3920D00003D;4008;0,097050801;0,0078433;-5,06E-09;50;-40;;;;;;;;;;;
2800472C0E000030;4402;0,120099999;0,00787234;-7,13E-09;0;0;;;;;;;;;;;
;5402;-23,79999924;0,083269998;0;0;0;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Time;14;16;501;502;700;710;901;4001;4002;4003;4004;4005;4006;4007;4008;4402;5402
28.04.2023 19:00;409,296;4,558;4,664;4,166;1016,33;18,625;79,75;8,002;8,234;8,437;7,627;8,028;8,121;8,481;8,562;9,557;55,551
28.04.2023 20:00;200;0;0;4,189;1016,56;19,563;8,25;0,877;1,254;1,128;1,449;1,502;1,444;1,363;0,787;4,526;68,99
28.04.2023 21:00;437,744;3,494;4,653;4,189;1016,57;16,688;0;-3,099;-3,091;-3,036;-2,588;-2,645;-2,781;-2,8;-3,104;-1,14;87,295
28.04.2023 22:00;460,096;3,19;4,653;4,189;1016,47;15;0;-4,172;-4,099;-4,109;-3,661;-3,651;-3,728;-3,935;-4,108;-2,022;92,694
28.04.2023 23:00;431,648;3,038;4,642;4,189;1016,25;13,25;0;-4,93;-4,792;-4,803;-4,418;-4,28;-4,486;-4,567;-4,674;-3,345;92,757
29.04.2023;437,744;1,367;4,642;4,189;1015,91;11,688;0;-5,182;-5,107;-5,056;-4,734;-4,531;-4,738;-4,882;-5,05;-3,408;91,983
29.04.2023 1:00;466,192;1,317;4,642;4,178;1015,53;10,438;0;-5,624;-5,486;-5,435;-4,986;-4,971;-5,117;-5,261;-5,364;-3,723;92,074
29.04.2023 2:00;466,192;1,317;4,642;4,189;1015,16;9,563;0;-6,066;-5,864;-5,814;-5,554;-5,412;-5,622;-5,703;-5,678;-3,849;91,913
29.04.2023 3:00;519,024;1,165;4,642;4,178;1014,84;8,813;0;-6,319;-6,179;-6,129;-5,744;-5,663;-5,874;-6,019;-6,055;-4,165;92,167
29.04.2023 4:00;512,928;1,772;4,642;4,178;1015,2;8,313;0;-5,814;-5,675;-5,814;-5,491;-5,475;-5,496;-5,577;-5,49;-3,219;92,672
29.04.2023 5:00;561,696;2,279;4,642;4,178;1014,9;8,063;9,9;-5,814;-5,612;-5,561;-5,302;-5,223;-5,306;-5,45;-5,364;-3,408;92,459
29.04.2023 6:00;535,28;2,329;4,642;4,178;1014,64;8,063;99,55;-2,972;-2,776;-2,783;-2,21;-2,394;-2,466;-2,421;-2,539;-0,573;93,449
29.04.2023 7:00;464,16;2,886;4,642;4,178;1014,16;9,563;329,45;4,977;5,028;4,658;5,484;4,829;4,469;4,955;5,428;4,652;76,749
29.04.2023 8:00;421,488;4,152;4,653;4,178;1014,04;13,125;449,35;9,074;9,051;8,563;8,95;9,094;8,939;9,047;8,75;7,86;66,965
29.04.2023 9:00;405,232;5,722;4,653;4,189;1013,98;17,438;523,05;12,979;12,694;12,15;12,477;12,667;12,399;12,633;12,821;10,876;58,419
29.04.2023 10:00;399,136;7,748;4,664;4,178;1013,69;21,75;854,15;17,826;16,459;16,677;16,129;17,362;17,489;18,289;17,891;13,953;52,368
29.04.2023 11:00;395,072;11,293;4,674;4,189;1013,72;26,375;753,5;18,455;17,964;17,682;18,017;18,176;18,117;18,478;18,954;15,836;48,825
29.04.2023 12:00;395,072;12,407;4,674;4,178;1013,51;29;943,25;20,845;20,221;19,378;19,716;19,802;19,687;20,299;20,893;16,966;46,642
29.04.2023 13:00;399,136;14,837;4,685;4,178;1013,11;31,688;1054,35;21,726;21,099;20,132;20,345;20,24;20,566;21,554;23,081;17,906;46,264
29.04.2023 14:00;405,232;15,091;4,696;4,189;1012,67;33,875;748,55;22,229;21,287;19,881;20,659;20,615;21,319;21,931;22,331;18,346;45,326
29.04.2023 15:00;401,168;13,369;4,685;4,189;1012,22;34,438;869,55;22,795;22,226;20,697;21,477;21,678;22,009;22,935;22,769;19,035;44,608
29.04.2023 16:00;407,264;12,711;4,685;4,189;1011,9;33,188;264,55;17,952;17,902;17,557;17,639;17,738;17,866;17,975;18,079;17,028;47,699
29.04.2023 17:00;405,232;10,533;4,685;4,189;1011,39;31,875;219,45;18,266;18,152;17,808;17,954;18,051;18,055;18,038;18,079;17,279;47,3
29.04.2023 18:00;413,36;9,216;4,685;4,189;1011;30,5;130,9;16,316;16,396;16,174;16,129;16,299;16,421;16,405;16,327;16,213;50,165
29.04.2023 19:00;413,36;8,305;4,685;4,178;1010,88;28,75;47,85;14,868;15,016;14,98;14,807;15,047;15,102;15,085;14,95;15,271;52,562
29.04.2023 20:00;417,424;7,191;4,674;4,178;1010,6;27;0;13,042;13,384;13,282;13,233;13,418;13,594;13,45;13,134;13,953;54,018
29.04.2023 21:00;425,552;6,482;4,674;4,189;1010,73;25,313;0;12,097;12,38;12,276;12,288;12,353;12,525;12,507;12,195;13,012;57,283
29.04.2023 22:00;431,648;6,026;4,674;4,189;1010,75;24,063;0;12,097;12,443;12,213;12,351;12,479;12,588;12,444;12,07;13,074;56,359
29.04.2023 23:00;433,68;5,824;4,664;4,178;1010,35;23,125;0;9,074;9,177;9,13;9,139;9,22;9,443;9,362;9,188;10,688;70,012
30.04.2023;466,192;5,469;4,674;4,178;1010,43;22,25;0;8,381;8,486;8,374;8,257;8,405;8,499;8,481;8,437;8,74;87,257
30.04.2023 1:00;443,84;5,368;4,664;4,178;1010,67;21,375;0;9,452;9,554;9,444;9,328;9,47;9,569;9,551;9,502;9,619;89,109
30.04.2023 2:00;425,552;5,368;4,664;4,178;1010,74;20,25;0;7,309;7,417;7,367;7,185;7,401;7,492;7,411;7,434;7,482;89,633
30.04.2023 3:00;429,616;5,013;4,664;4,178;1010,95;19,313;0;7,12;7,292;7,178;7,059;7,213;7,303;7,285;7,246;7,419;88,86
30.04.2023 4:00;433,68;4,811;4,664;4,178;1011,49;18,688;0;5,418;5,406;5,288;5,232;5,519;5,603;5,459;5,616;6,099;90,148
30.04.2023 5:00;435,712;4,203;4,653;4,178;1012,01;17,563;10,45;3,527;3,33;3,083;3,025;3,323;3,524;3,506;3,861;4,652;90,642
30.04.2023 6:00;433,68;3,849;4,653;4,178;1012,4;16,313;80,85;3,968;3,959;3,902;3,845;3,95;4,217;4,388;4,362;4,967;88,409
30.04.2023 7:00;419,456;4,102;4,653;4,178;1013,07;16,375;497,75;8,192;8,548;7,556;10,462;7,715;6,862;8,04;9,69;8,048;78,676
