Cruise:METAVAR:TEXT:21	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees East]	Latitude [degrees North]	Bot. Depth [m]	Depth [m]	Temperature [°C]	Salinity [psu]	Conductivity [mS/cm]	OxcyGd [%]	Oxygen [ml/l]	RedOx [V]	Sound [m/s]	Sigma [kg/m3]	DiscSecciDepth [m]	Color	Dredge Conc [mg/l]	SST [°C]	Potential Temperature ~$q~# [°C]:DOUBLE	In situ Density Anomaly [kg/m~^3]:DOUBLE
Aquarius2	Aq44	C	2006-07-04T21:37			46	-0.21	21.079	7.176	999999	187.24	11.16	0.196	999999	3.412	999999	999999	999999	999999	21.079	3.46642
							-0.2	21.079	7.173	999999	187.15	11.16	0.196	999999	3.409	999999	999999	999999	999999	21.079	3.46421
							-0.2	21.079	7.173	999999	186.75	11.13	0.196	999999	3.409	999999	999999	999999	999999	21.079	3.46421
							-0.19	21.069	7.175	999999	186.71	11.13	0.196	999999	3.413	999999	999999	999999	999999	21.069	3.46806
							-0.17	21.074	7.175	999999	185.4	11.05	0.196	999999	3.412	999999	999999	999999	999999	21.074	3.467
							-0.07	21.078	7.176	999999	185.72	11.07	0.196	999999	3.413	999999	999999	999999	999999	21.078	3.46729
							0.45	20.957	6.939	999999	190.25	11.38	0.196	999999	3.263	999999	999999	999999	999999	20.9569	3.31885
							0.66	19.507	7.087	999999	200.74	12.35	0.197	999999	3.697	999999	999999	999999	999999	19.5069	3.75207
							0.87	19.507	7.087	999999	200.74	12.35	0.197	999999	3.698	999999	999999	999999	999999	19.5069	3.75304
							0.87	19.507	7.071	999999	200.74	12.35	0.197	999999	3.686	999999	999999	999999	999999	19.5069	3.74094
							1.09	21.253	6.757	999999	218.26	13	0.197	999999	3.061	999999	999999	999999	999999	21.2528	3.11674
							1.3	18.628	7.153	999999	218.26	13.66	0.197	999999	3.934	999999	999999	999999	999999	18.6278	3.98906
							1.5	18.461	7.182	999999	218.26	13.7	0.197	999999	3.991	999999	999999	999999	999999	18.4608	4.04604
							1.7	18.321	7.207	999999	218.26	13.74	0.197	999999	4.039	999999	999999	999999	999999	18.3208	4.09426
							2.11	18.321	7.206	999999	218.26	13.74	0.197	999999	4.041	999999	999999	999999	999999	18.3207	4.09539
							2.34	17.591	7.111	999999	218.26	13.95	0.197	999999	4.114	999999	999999	999999	999999	17.5907	4.16891
							2.59	17.591	7.111	999999	218.26	13.95	0.197	999999	4.115	999999	999999	999999	999999	17.5906	4.17007
							2.59	17.591	7.111	999999	218.26	13.95	0.198	999999	4.115	999999	999999	999999	999999	17.5906	4.17007
							2.85	16.989	7.161	999999	218.26	14.12	0.198	999999	4.269	999999	999999	999999	999999	16.9886	4.32417
							3.1	16.755	7.156	999999	218.26	14.19	0.198	999999	4.31	999999	999999	999999	999999	16.7546	4.36516
							3.36	16.493	7.157	999999	218.26	14.27	0.198	999999	4.36	999999	999999	999999	999999	16.4926	4.41527
							3.62	16.264	7.169	999999	218.26	14.33	0.198	999999	4.412	999999	999999	999999	999999	16.2635	4.46709
							4.43	15.276	7.136	999999	218.26	14.64	0.199	999999	4.564	999999	999999	999999	999999	15.2755	4.61804
							4.72	14.759	7.117	999999	218.26	14.8	0.199	999999	4.636	999999	999999	999999	999999	14.7585	4.69071
							5.01	14.049	7.1	999999	218.26	15.03	0.2	999999	4.737	999999	999999	999999	999999	14.0485	4.792
							5.55	12.59	7.218	999999	218.26	15.51	0.201	999999	5.046	999999	999999	999999	999999	12.5895	5.09919
							5.81	12.254	7.223	999999	218.26	15.63	0.201	999999	5.096	999999	999999	999999	999999	12.2535	5.15007
							6.1	11.803	7.214	999999	218.26	15.79	0.201	999999	5.151	999999	999999	999999	999999	11.8025	5.20386
							6.38	11.386	7.221	999999	218.26	15.94	0.202	999999	5.21	999999	999999	999999	999999	11.3855	5.26329
							6.38	10.982	7.243	999999	218.26	16.08	0.202	999999	5.276	999999	999999	999999	999999	10.9815	5.32935
							7	10.391	7.294	999999	218.26	16.3	0.203	999999	5.387	999999	999999	999999	999999	10.3905	5.43996
							7.57	10.234	7.303	999999	214.27	16.05	0.203	999999	5.415	999999	999999	999999	999999	10.2334	5.46704
							7.86	10.04	7.269	999999	205.28	15.45	0.204	999999	5.411	999999	999999	999999	999999	10.0394	5.46314
							8.15	10.04	7.269	999999	201.95	15.2	0.204	999999	5.412	999999	999999	999999	999999	10.0394	5.46452
							8.71	9.459	7.29	999999	190.45	14.53	0.205	999999	5.492	999999	999999	999999	999999	9.4584	5.54376
							9.02	9.28	7.287	999999	189.37	14.51	0.205	999999	5.508	999999	999999	999999	999999	9.2794	5.56062
							9.32	9.28	7.252	999999	188.78	14.47	0.205	999999	5.482	999999	999999	999999	999999	9.2794	5.53485
							9.65	8.89	7.309	999999	186.89	14.45	0.205	999999	5.566	999999	999999	999999	999999	8.8894	5.61792
							9.97	8.755	7.316	999999	184.16	14.28	0.206	999999	5.585	999999	999999	999999	999999	8.7544	5.63732
							10.28	8.631	7.363	999999	181.49	14.12	0.206	999999	5.634	999999	999999	999999	999999	8.6304	5.68661
							10.58	8.629	7.393	999999	178.78	13.9	0.206	999999	5.66	999999	999999	999999	999999	8.6284	5.7116
							10.89	8.655	7.397	999999	175.42	13.63	0.206	999999	5.662	999999	999999	999999	999999	8.6543	5.71386
							11.21	8.658	7.391	999999	171.27	13.31	0.206	999999	5.659	999999	999999	999999	999999	8.6573	5.71046
							11.56	8.579	7.377	999999	168.83	13.15	0.206	999999	5.657	999999	999999	999999	999999	8.5783	5.7083
							11.9	8.436	7.401	999999	167.62	13.09	0.206	999999	5.69	999999	999999	999999	999999	8.4353	5.74124
							12.26	8.293	7.406	999999	167.17	13.1	0.206	999999	5.707	999999	999999	999999	999999	8.2923	5.75921
							12.63	8.141	7.41	999999	167.17	13.15	0.206	999999	5.725	999999	999999	999999	999999	8.1403	5.77693
							13.01	7.972	7.446	999999	167.17	13.2	0.206	999999	5.769	999999	999999	999999	999999	7.9713	5.82077
							13.01	7.972	7.446	999999	167.45	13.22	0.206	999999	5.769	999999	999999	999999	999999	7.9713	5.82077
							13.35	7.778	7.42	999999	165.7	13.15	0.206	999999	5.766	999999	999999	999999	999999	7.7773	5.81761
							13.7	7.62	7.431	999999	167.65	13.35	0.206	999999	5.789	999999	999999	999999	999999	7.6193	5.84015
							14.06	7.506	7.448	999999	167.65	13.39	0.206	999999	5.812	999999	999999	999999	999999	7.5053	5.86382
							14.43	7.439	7.455	999999	165.91	13.27	0.206	999999	5.824	999999	999999	999999	999999	7.4383	5.87608
							14.78	7.371	7.458	999999	163.22	13.08	0.206	999999	5.834	999999	999999	999999	999999	7.3703	5.88513
							15.15	7.298	7.46	999999	160.04	12.85	0.206	999999	5.842	999999	999999	999999	999999	7.2973	5.8938
